epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.25,0.0010000000474974513,nan,0.5,nan
1,0.25,0.0010000000474974513,nan,0.5,nan
2,0.25,0.0010000000474974513,nan,0.5,nan
3,0.25,0.0010000000474974513,nan,0.5,nan
4,0.25,0.0010000000474974513,nan,0.5,nan
5,0.25,0.0010000000474974513,nan,0.5,nan
6,0.25,0.00020000000949949026,nan,0.5,nan
7,0.25,0.00020000000949949026,nan,0.5,nan
8,0.25,0.00020000000949949026,nan,0.5,nan
9,0.25,0.00020000000949949026,nan,0.5,nan
10,0.25,0.00020000000949949026,nan,0.5,nan
